player_id,signup_date,acquisition_channel,country,preferred_currency,kyc_status,self_excluded
P00001,2024-01-11,affiliate,BR,BRL,verified,false
P00002,2023-12-30,affiliate,BR,BRL,verified,false
P00003,2023-11-16,paid_social,BR,BRL,verified,false
P00004,2024-02-12,organic,BR,BRL,verified,false
P00005,2023-09-01,influencer,AO,USD,verified,false
P00006,2024-01-28,organic,BR,BRL,pending,false
P00007,2024-01-10,affiliate,PT,USD,verified,false
P00008,2023-09-13,seo,BR,BRL,rejected,false
P00009,2023-10-23,affiliate,PT,EUR,pending,false
P00010,2024-03-12,seo,PT,EUR,pending,false
P00011,2024-02-07,influencer,BR,BRL,verified,false
P00012,2023-12-09,paid_social,BR,BRL,verified,false
P00013,2023-11-06,organic,BR,BRL,pending,false
P00014,2024-02-09,paid_social,BR,BRL,verified,false
P00015,2023-10-07,influencer,AO,USD,pending,false
P00016,2023-09-20,influencer,BR,BRL,pending,false
P00017,2023-08-05,organic,BR,BRL,verified,false
P00018,2023-12-03,influencer,PT,EUR,verified,false
P00019,2023-12-14,affiliate,PT,EUR,verified,false
P00020,2024-01-19,influencer,BR,BRL,verified,true
P00021,2023-09-28,paid_social,BR,EUR,pending,false
P00022,2023-10-11,affiliate,BR,BRL,pending,false
P00023,2024-02-23,seo,BR,EUR,verified,false
P00024,2023-08-16,paid_social,BR,BRL,verified,false
P00025,2023-11-27,seo,BR,BRL,pending,false
P00026,2024-03-02,affiliate,BR,BRL,verified,false
P00027,2023-11-06,seo,BR,BRL,verified,false
P00028,2023-09-09,paid_social,BR,BRL,verified,false
P00029,2023-12-01,,BR,BRL,verified,false
P00030,2024-01-20,influencer,PT,EUR,verified,false
P00031,2023-10-20,organic,AO,USD,verified,false
P00032,2024-02-09,influencer,AO,EUR,verified,false
P00033,2024-03-13,organic,BR,BRL,pending,false
P00034,2023-08-03,paid_social,BR,BRL,verified,false
P00035,2023-09-09,organic,BR,BRL,verified,false
P00036,2023-08-24,,BR,BRL,verified,false
P00037,2023-11-22,paid_social,BR,BRL,pending,false
P00038,2024-03-01,seo,BR,BRL,verified,false
P00039,2023-08-11,affiliate,PT,EUR,verified,false
P00040,2024-02-08,affiliate,BR,BRL,pending,true
P00041,2023-10-25,affiliate,PT,EUR,verified,false
P00042,2023-09-26,organic,BR,BRL,verified,true
P00043,2023-11-11,organic,BR,BRL,verified,false
P00044,2023-08-08,affiliate,BR,BRL,rejected,false
P00045,2024-02-03,influencer,PT,EUR,pending,true
P00046,2023-08-01,affiliate,BR,BRL,verified,false
P00047,2024-01-17,organic,PT,EUR,verified,false
P00048,2023-09-02,seo,BR,BRL,pending,false
P00049,2024-03-01,seo,BR,BRL,verified,false
P00050,2023-09-24,affiliate,BR,BRL,verified,false
