bet_id,player_id,bet_ts,stake,currency,product,payout,_source_file,_ingested_at
B0002926,P00210,2024-02-11T00:24:00Z,820.92,BRL,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0002320,P00164,2024-02-18T09:12:00Z,18.68,EUR,casino,35.92,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000510,P00040,2024-03-01T04:15:00Z,71.57,BRL,casino,164.35,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000241,P00022,2023-11-19T02:35:00Z,858.47,BRL,casino,2459.95,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000276,P00024,2023-09-12T17:47:00Z,115.08,BRL,casino,367.02,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0001703,P00135,2024-02-01T20:05:00Z,373.17,BRL,casino,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0001580,P00120,2024-01-27T17:19:00Z,772.79,BRL,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000906,P00076,2023-12-27T14:09:00Z,639.14,BRL,sports,2162.69,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0001552,P00120,2024-01-27T02:33:00Z,142.67,BRL,casino,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000145,P00012,2024-01-05T16:07:00Z,405.31,BRL,casino,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0003162,P00217,2024-02-03T00:39:00Z,208.59,BRL,sports,445.04,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000869,P00073,2024-01-09T19:39:00Z,650.13,BRL,sports,1685.71,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0002125,P00148,2024-03-14T07:56:00Z,123.47,BRL,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000892,P00075,2024-02-22T15:41:00Z,47.24,EUR,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0001691,P00135,2024-01-26T02:58:00Z,711.56,BRL,casino,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0001467,P00118,2023-10-23T19:24:00Z,28.03,BRL,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0003435,P00232,2024-02-15T23:09:00Z,178.31,USD,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0002800,P00202,2024-03-01T09:50:00Z,542.69,BRL,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0002831,P00202,2024-02-27T13:45:00Z,316.77,BRL,sports,0.00,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0002096,P00145,2023-12-04T19:12:00Z,910.03,BRL,sports,2583.91,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
B0000575,P00048,2023-11-02T15:28:00Z,471.93,BRL,sports,1166.16,file:///home/claude/flutter-martech-case/data/bets.csv,2026-07-31T13:06:36.070Z
