campaign_id,campaign_name,created_date,status,_source_file,_ingested_at
C001,BR_email_reactivation_casino_dormant_2024Q1_bonus50,2024-01-05,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C002,PT-push-acquisition-sports-new-2024Q1-freebet,2024-01-10,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C003,br_EMAIL_Reactivation_Casino_Dormant_2024Q1_BONUS50,2024-02-01,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C004,BR_email_reactivation_2024Q1_bonus50,2024-02-03,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C005,BR_push_reactivaton_casino_dorment_2024Q1_bonus_50,2024-02-10,paused,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C006,BR_email_2024Q1__both_crosssell___vip_freespins_v2_FINAL_,2024-03-01,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C007,,2023-08-15,archived,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C008,Reativacao Janeiro,2023-12-20,archived,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C009,BR_sms_retention_sports_active_2024Q1_cashback,2024-01-15,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C010,PT_email_acquisition_casino_new_2024Q1_bonus100,2024-01-20,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C011,BR_push_reactivation_sports_dormant_2024Q1_freebet,2024-02-05,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
C012,_email_AO__vip_crosssell_both_2024Q1_none_,2024-02-20,active,file:///home/claude/flutter-martech-case/data/campaigns.csv,2026-07-31T12:59:48.605Z
