deposit_id,player_id,deposit_ts,amount,currency,status,_source_file,_ingested_at
D0000403,P00106,2023-11-01T17:33:00Z,275.53,EUR,pending,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000157,P00038,2024-03-26T12:58:00Z,681.00,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000391,P00103,2024-03-18T11:54:00Z,255.08,EUR,failed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000452,P00115,2023-10-27T13:11:00Z,1076.07,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000924,P00215,2023-11-29T11:17:00Z,51.81,EUR,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000936,P00216,2023-11-26T11:42:00Z,231.95,USD,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000930,P00216,2023-12-14T23:24:00Z,161.36,EUR,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000101,P00028,2023-10-27T21:15:00Z,626.31,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000896,P00208,2023-09-10T12:02:00Z,846.81,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000219,P00054,2023-10-27T11:58:00Z,1494.79,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0001030,P00223,2024-02-20T00:13:00Z,263.48,USD,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000228,P00057,2024-01-10T23:24:00Z,257.06,USD,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0001134,P00072,2024-01-01T23:14:00Z,157.67,USD,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000582,P00139,2023-10-14T00:01:00Z,1356.63,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000637,P00144,2023-10-29T19:50:00Z,1173.14,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000796,P00188,2023-12-28T15:52:00Z,259.96,EUR,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000498,P00126,2024-02-24T14:47:00Z,300.79,USD,failed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000562,P00139,2023-11-29T09:14:00Z,276.95,USD,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000156,P00038,2024-03-16T16:58:00Z,78.50,EUR,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000699,P00157,2024-01-31T00:22:00Z,883.90,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000433,P00114,2024-01-19T02:05:00Z,774.23,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000345,P00092,2024-03-09T14:16:00Z,1649.88,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000417,P00111,2024-02-09T01:40:00Z,291.67,EUR,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000416,P00111,2023-12-24T03:45:00Z,309.94,EUR,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000367,P00098,2023-11-16T01:17:00Z,1327.29,BRL,pending,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000570,P00139,2023-09-15T12:31:00Z,201.89,BRL,pending,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0001143,P00098,2024-02-12T03:38:00Z,865.58,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000920,P00214,2024-03-08T09:00:00Z,154.08,EUR,failed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000590,P00141,2024-03-21T03:40:00Z,1070.55,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0001024,P00222,2023-11-25T03:05:00Z,1861.20,BRL,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
D0000234,P00060,2024-02-10T23:13:00Z,16.50,EUR,confirmed,file:/home/claude/flutter-martech-case/data/deposits.csv,2026-07-31T14:05:48.946Z
