rate_date,eur_to_brl,eur_to_usd,was_forward_filled,_ingested_at
2023-07-25,5.3084,1.0753,false,2026-07-31T12:24:28.994Z
2023-07-26,5.2949,1.0725,false,2026-07-31T12:24:28.994Z
2023-07-27,5.3091,1.0742,false,2026-07-31T12:24:28.994Z
2023-07-28,5.3326,1.0701,false,2026-07-31T12:24:28.994Z
2023-07-29,5.3326,1.0701,true,2026-07-31T12:24:28.994Z
2023-07-30,5.3326,1.0701,true,2026-07-31T12:24:28.994Z
2023-07-31,5.3279,1.0654,false,2026-07-31T12:24:28.994Z
2023-08-01,5.311,1.0655,false,2026-07-31T12:24:28.994Z
2023-08-02,5.2826,1.0625,false,2026-07-31T12:24:28.994Z
2023-08-03,5.2916,1.0629,false,2026-07-31T12:24:28.994Z
2023-08-04,5.2748,1.0638,false,2026-07-31T12:24:28.994Z
2023-08-05,5.2748,1.0638,true,2026-07-31T12:24:28.994Z
2023-08-06,5.2748,1.0638,true,2026-07-31T12:24:28.994Z
2023-08-07,5.2934,1.0589,false,2026-07-31T12:24:28.994Z
2023-08-08,5.3117,1.0608,false,2026-07-31T12:24:28.994Z
2023-08-09,5.3022,1.0574,false,2026-07-31T12:24:28.994Z
2023-08-10,5.3296,1.0558,false,2026-07-31T12:24:28.994Z
2023-08-11,5.3052,1.0517,false,2026-07-31T12:24:28.994Z
2023-08-12,5.3052,1.0517,true,2026-07-31T12:24:28.994Z
2023-08-13,5.3052,1.0517,true,2026-07-31T12:24:28.994Z
2023-08-14,5.326,1.0528,false,2026-07-31T12:24:28.994Z
2023-08-15,5.3444,1.0551,false,2026-07-31T12:24:28.994Z
2023-08-16,5.3466,1.0598,false,2026-07-31T12:24:28.994Z
2023-08-17,5.3393,1.0603,false,2026-07-31T12:24:28.994Z
2023-08-18,5.3591,1.0615,false,2026-07-31T12:24:28.994Z
2023-08-19,5.3591,1.0615,true,2026-07-31T12:24:28.994Z
2023-08-20,5.3591,1.0615,true,2026-07-31T12:24:28.994Z
2023-08-21,5.3808,1.0623,false,2026-07-31T12:24:28.994Z
2023-08-22,5.3931,1.0577,false,2026-07-31T12:24:28.994Z
2023-08-23,5.3767,1.0556,false,2026-07-31T12:24:28.994Z
2023-08-24,5.3515,1.053,false,2026-07-31T12:24:28.994Z
2023-08-25,5.3276,1.0507,false,2026-07-31T12:24:28.994Z
2023-08-26,5.3276,1.0507,true,2026-07-31T12:24:28.994Z
2023-08-27,5.3276,1.0507,true,2026-07-31T12:24:28.994Z
2023-08-28,5.3357,1.0494,false,2026-07-31T12:24:28.994Z
2023-08-29,5.3279,1.0465,false,2026-07-31T12:24:28.994Z
2023-08-30,5.314,1.0508,false,2026-07-31T12:24:28.994Z
2023-08-31,5.3228,1.0519,false,2026-07-31T12:24:28.994Z
2023-09-01,5.3031,1.0542,false,2026-07-31T12:24:28.994Z
2023-09-02,5.3031,1.0542,true,2026-07-31T12:24:28.994Z
2023-09-03,5.3031,1.0542,true,2026-07-31T12:24:28.994Z
2023-09-04,5.2829,1.053,false,2026-07-31T12:24:28.994Z
2023-09-05,5.3123,1.0544,false,2026-07-31T12:24:28.994Z
2023-09-06,5.3157,1.0563,false,2026-07-31T12:24:28.994Z
2023-09-07,5.3363,1.059,false,2026-07-31T12:24:28.994Z
2023-09-08,5.32,1.0544,false,2026-07-31T12:24:28.994Z
2023-09-09,5.32,1.0544,true,2026-07-31T12:24:28.994Z
2023-09-10,5.32,1.0544,true,2026-07-31T12:24:28.994Z
2023-09-11,5.3089,1.052,false,2026-07-31T12:24:28.994Z
2023-09-12,5.2916,1.0565,false,2026-07-31T12:24:28.994Z
2023-09-13,5.3142,1.0546,false,2026-07-31T12:24:28.994Z
2023-09-14,5.3235,1.0536,false,2026-07-31T12:24:28.994Z
2023-09-15,5.3484,1.0532,false,2026-07-31T12:24:28.994Z
2023-09-16,5.3484,1.0532,true,2026-07-31T12:24:28.994Z
2023-09-17,5.3484,1.0532,true,2026-07-31T12:24:28.994Z
2023-09-18,5.3343,1.0506,false,2026-07-31T12:24:28.994Z
2023-09-19,5.338,1.0482,false,2026-07-31T12:24:28.994Z
2023-09-20,5.343,1.0522,false,2026-07-31T12:24:28.994Z
2023-09-21,5.337,1.0494,false,2026-07-31T12:24:28.994Z
2023-09-22,5.3668,1.0495,false,2026-07-31T12:24:28.994Z
2023-09-23,5.3668,1.0495,true,2026-07-31T12:24:28.994Z
2023-09-24,5.3668,1.0495,true,2026-07-31T12:24:28.994Z
2023-09-25,5.3423,1.045,false,2026-07-31T12:24:28.994Z
2023-09-26,5.3189,1.0463,false,2026-07-31T12:24:28.994Z
2023-09-27,5.3364,1.0455,false,2026-07-31T12:24:28.994Z
2023-09-28,5.3102,1.0443,false,2026-07-31T12:24:28.994Z
2023-09-29,5.34,1.0446,false,2026-07-31T12:24:28.994Z
2023-09-30,5.34,1.0446,true,2026-07-31T12:24:28.994Z
2023-10-01,5.34,1.0446,true,2026-07-31T12:24:28.994Z
2023-10-02,5.3682,1.0482,false,2026-07-31T12:24:28.994Z
2023-10-03,5.3389,1.0504,false,2026-07-31T12:24:28.994Z
2023-10-04,5.3498,1.0508,false,2026-07-31T12:24:28.994Z
2023-10-05,5.3358,1.0522,false,2026-07-31T12:24:28.994Z
2023-10-06,5.3125,1.0515,false,2026-07-31T12:24:28.994Z
2023-10-07,5.3125,1.0515,true,2026-07-31T12:24:28.994Z
2023-10-08,5.3125,1.0515,true,2026-07-31T12:24:28.994Z
2023-10-09,5.3098,1.0561,false,2026-07-31T12:24:28.994Z
2023-10-10,5.3323,1.0537,false,2026-07-31T12:24:28.994Z
2023-10-11,5.3324,1.0505,false,2026-07-31T12:24:28.994Z
2023-10-12,5.3571,1.0542,false,2026-07-31T12:24:28.994Z
2023-10-13,5.345,1.0556,false,2026-07-31T12:24:28.994Z
2023-10-14,5.345,1.0556,true,2026-07-31T12:24:28.994Z
2023-10-15,5.345,1.0556,true,2026-07-31T12:24:28.994Z
2023-10-16,5.3516,1.0521,false,2026-07-31T12:24:28.994Z
2023-10-17,5.3673,1.0525,false,2026-07-31T12:24:28.994Z
2023-10-18,5.384,1.0528,false,2026-07-31T12:24:28.994Z
2023-10-19,5.3541,1.051,false,2026-07-31T12:24:28.994Z
2023-10-20,5.3252,1.0553,false,2026-07-31T12:24:28.994Z
2023-10-21,5.3252,1.0553,true,2026-07-31T12:24:28.994Z
2023-10-22,5.3252,1.0553,true,2026-07-31T12:24:28.994Z
2023-10-23,5.3479,1.0587,false,2026-07-31T12:24:28.994Z
2023-10-24,5.3364,1.0542,false,2026-07-31T12:24:28.994Z
2023-10-25,5.3591,1.0587,false,2026-07-31T12:24:28.994Z
2023-10-26,5.3342,1.0586,false,2026-07-31T12:24:28.994Z
2023-10-27,5.3084,1.0612,false,2026-07-31T12:24:28.994Z
2023-10-28,5.3084,1.0612,true,2026-07-31T12:24:28.994Z
2023-10-29,5.3084,1.0612,true,2026-07-31T12:24:28.994Z
2023-10-30,5.3243,1.0575,false,2026-07-31T12:24:28.994Z
2023-10-31,5.3228,1.058,false,2026-07-31T12:24:28.994Z
2023-11-01,5.3087,1.0617,false,2026-07-31T12:24:28.994Z
2023-11-02,5.3041,1.0588,false,2026-07-31T12:24:28.994Z
2023-11-03,5.3065,1.0611,false,2026-07-31T12:24:28.994Z
2023-11-04,5.3065,1.0611,true,2026-07-31T12:24:28.994Z
2023-11-05,5.3065,1.0611,true,2026-07-31T12:24:28.994Z
2023-11-06,5.2886,1.0592,false,2026-07-31T12:24:28.994Z
2023-11-07,5.3183,1.0607,false,2026-07-31T12:24:28.994Z
2023-11-08,5.3146,1.0609,false,2026-07-31T12:24:28.994Z
2023-11-09,5.2918,1.0581,false,2026-07-31T12:24:28.994Z
2023-11-10,5.2821,1.059,false,2026-07-31T12:24:28.994Z
2023-11-11,5.2821,1.059,true,2026-07-31T12:24:28.994Z
2023-11-12,5.2821,1.059,true,2026-07-31T12:24:28.994Z
2023-11-13,5.2659,1.0562,false,2026-07-31T12:24:28.994Z
2023-11-14,5.2402,1.0575,false,2026-07-31T12:24:28.994Z
