BRL,USD,base_currency,rate_date,used_fallback_source,_ingested_at
5.3084,1.0753,EUR,2023-07-25,false,2026-07-31T14:16:33.762Z
5.2949,1.0725,EUR,2023-07-26,false,2026-07-31T14:16:33.762Z
5.3091,1.0742,EUR,2023-07-27,false,2026-07-31T14:16:33.762Z
5.3326,1.0701,EUR,2023-07-28,false,2026-07-31T14:16:33.762Z
5.3279,1.0654,EUR,2023-07-31,false,2026-07-31T14:16:33.762Z
5.311,1.0655,EUR,2023-08-01,false,2026-07-31T14:16:33.762Z
5.2826,1.0625,EUR,2023-08-02,false,2026-07-31T14:16:33.762Z
5.2916,1.0629,EUR,2023-08-03,false,2026-07-31T14:16:33.762Z
5.2748,1.0638,EUR,2023-08-04,false,2026-07-31T14:16:33.762Z
5.2934,1.0589,EUR,2023-08-07,false,2026-07-31T14:16:33.762Z
5.3117,1.0608,EUR,2023-08-08,false,2026-07-31T14:16:33.762Z
5.3022,1.0574,EUR,2023-08-09,false,2026-07-31T14:16:33.762Z
5.3296,1.0558,EUR,2023-08-10,false,2026-07-31T14:16:33.762Z
5.3052,1.0517,EUR,2023-08-11,false,2026-07-31T14:16:33.762Z
5.326,1.0528,EUR,2023-08-14,false,2026-07-31T14:16:33.762Z
5.3444,1.0551,EUR,2023-08-15,false,2026-07-31T14:16:33.762Z
5.3466,1.0598,EUR,2023-08-16,false,2026-07-31T14:16:33.762Z
5.3393,1.0603,EUR,2023-08-17,false,2026-07-31T14:16:33.762Z
5.3591,1.0615,EUR,2023-08-18,false,2026-07-31T14:16:33.762Z
5.3808,1.0623,EUR,2023-08-21,false,2026-07-31T14:16:33.762Z
5.3931,1.0577,EUR,2023-08-22,false,2026-07-31T14:16:33.762Z
5.3767,1.0556,EUR,2023-08-23,false,2026-07-31T14:16:33.762Z
5.3515,1.053,EUR,2023-08-24,false,2026-07-31T14:16:33.762Z
5.3276,1.0507,EUR,2023-08-25,false,2026-07-31T14:16:33.762Z
5.3357,1.0494,EUR,2023-08-28,false,2026-07-31T14:16:33.762Z
5.3279,1.0465,EUR,2023-08-29,false,2026-07-31T14:16:33.762Z
5.314,1.0508,EUR,2023-08-30,false,2026-07-31T14:16:33.762Z
5.3228,1.0519,EUR,2023-08-31,false,2026-07-31T14:16:33.762Z
5.3031,1.0542,EUR,2023-09-01,false,2026-07-31T14:16:33.762Z
5.2829,1.053,EUR,2023-09-04,false,2026-07-31T14:16:33.762Z
5.3123,1.0544,EUR,2023-09-05,false,2026-07-31T14:16:33.762Z
5.3157,1.0563,EUR,2023-09-06,false,2026-07-31T14:16:33.762Z
5.3363,1.059,EUR,2023-09-07,false,2026-07-31T14:16:33.762Z
5.32,1.0544,EUR,2023-09-08,false,2026-07-31T14:16:33.762Z
5.3089,1.052,EUR,2023-09-11,false,2026-07-31T14:16:33.762Z
5.2916,1.0565,EUR,2023-09-12,false,2026-07-31T14:16:33.762Z
5.3142,1.0546,EUR,2023-09-13,false,2026-07-31T14:16:33.762Z
5.3235,1.0536,EUR,2023-09-14,false,2026-07-31T14:16:33.762Z
5.3484,1.0532,EUR,2023-09-15,false,2026-07-31T14:16:33.762Z
5.3343,1.0506,EUR,2023-09-18,false,2026-07-31T14:16:33.762Z
5.338,1.0482,EUR,2023-09-19,false,2026-07-31T14:16:33.762Z
5.343,1.0522,EUR,2023-09-20,false,2026-07-31T14:16:33.762Z
5.337,1.0494,EUR,2023-09-21,false,2026-07-31T14:16:33.762Z
5.3668,1.0495,EUR,2023-09-22,false,2026-07-31T14:16:33.762Z
5.3423,1.045,EUR,2023-09-25,false,2026-07-31T14:16:33.762Z
5.3189,1.0463,EUR,2023-09-26,false,2026-07-31T14:16:33.762Z
5.3364,1.0455,EUR,2023-09-27,false,2026-07-31T14:16:33.762Z
5.3102,1.0443,EUR,2023-09-28,false,2026-07-31T14:16:33.762Z
5.34,1.0446,EUR,2023-09-29,false,2026-07-31T14:16:33.762Z
5.3682,1.0482,EUR,2023-10-02,false,2026-07-31T14:16:33.762Z
5.3389,1.0504,EUR,2023-10-03,false,2026-07-31T14:16:33.762Z
5.3498,1.0508,EUR,2023-10-04,false,2026-07-31T14:16:33.762Z
5.3358,1.0522,EUR,2023-10-05,false,2026-07-31T14:16:33.762Z
5.3125,1.0515,EUR,2023-10-06,false,2026-07-31T14:16:33.762Z
5.3098,1.0561,EUR,2023-10-09,false,2026-07-31T14:16:33.762Z
5.3323,1.0537,EUR,2023-10-10,false,2026-07-31T14:16:33.762Z
5.3324,1.0505,EUR,2023-10-11,false,2026-07-31T14:16:33.762Z
5.3571,1.0542,EUR,2023-10-12,false,2026-07-31T14:16:33.762Z
5.345,1.0556,EUR,2023-10-13,false,2026-07-31T14:16:33.762Z
5.3516,1.0521,EUR,2023-10-16,false,2026-07-31T14:16:33.762Z
