acquisition_channel,attributed_offer,net_deposits_confirmed_brl,n_jogadores,_ingested_at
seo,none,48636.5,8,2026-07-31T13:00:25.593Z
unknown,cashback,2479.27,2,2026-07-31T13:00:25.593Z
affiliate,freebet,18376.6,4,2026-07-31T13:00:25.593Z
seo,cashback,5659.43,1,2026-07-31T13:00:25.593Z
organic,bonus50,58982.43,7,2026-07-31T13:00:25.593Z
affiliate,oferta_nao_identificada,3181.88,2,2026-07-31T13:00:25.593Z
seo,freespins,65503.48,14,2026-07-31T13:00:25.593Z
influencer,bonus100,1623.5,1,2026-07-31T13:00:25.593Z
seo,freebet,3616.12,2,2026-07-31T13:00:25.593Z
paid_social,no_campaign_exposure,1793.94,1,2026-07-31T13:00:25.593Z
organic,cashback,3649.2,1,2026-07-31T13:00:25.593Z
unknown,bonus50,1803.52,1,2026-07-31T13:00:25.593Z
affiliate,bonus50,39846.15,6,2026-07-31T13:00:25.593Z
affiliate,no_campaign_exposure,732.4,1,2026-07-31T13:00:25.593Z
influencer,oferta_nao_identificada,18650.99,5,2026-07-31T13:00:25.593Z
affiliate,none,21018.94,9,2026-07-31T13:00:25.593Z
influencer,bonus50,41503.48,8,2026-07-31T13:00:25.593Z
affiliate,freespins,29973.65,8,2026-07-31T13:00:25.593Z
organic,bonus100,10178.93,1,2026-07-31T13:00:25.593Z
affiliate,bonus100,6820.02,2,2026-07-31T13:00:25.593Z
paid_social,oferta_nao_identificada,24737.67,6,2026-07-31T13:00:25.593Z
paid_social,none,30771.2,8,2026-07-31T13:00:25.593Z
organic,oferta_nao_identificada,2773.09,4,2026-07-31T13:00:25.593Z
unknown,freespins,35827.91,6,2026-07-31T13:00:25.593Z
organic,freebet,35284.26,8,2026-07-31T13:00:25.593Z
paid_social,bonus50,23463.82,7,2026-07-31T13:00:25.593Z
affiliate,cashback,4927.45,2,2026-07-31T13:00:25.593Z
paid_social,bonus100,2069.54,1,2026-07-31T13:00:25.593Z
seo,oferta_nao_identificada,30112.58,7,2026-07-31T13:00:25.593Z
seo,bonus100,1848.59,1,2026-07-31T13:00:25.593Z
paid_social,freespins,35792.52,9,2026-07-31T13:00:25.593Z
influencer,cashback,754.98,1,2026-07-31T13:00:25.593Z
unknown,freebet,7751.85,1,2026-07-31T13:00:25.593Z
unknown,none,38210.44,5,2026-07-31T13:00:25.593Z
unknown,oferta_nao_identificada,41501.9,5,2026-07-31T13:00:25.593Z
unknown,no_campaign_exposure,3611.19,1,2026-07-31T13:00:25.593Z
organic,freespins,61676.07,7,2026-07-31T13:00:25.593Z
organic,none,52844.29,14,2026-07-31T13:00:25.593Z
influencer,freebet,31853.19,6,2026-07-31T13:00:25.593Z
influencer,none,42061.71,8,2026-07-31T13:00:25.593Z
paid_social,freebet,6346.9,3,2026-07-31T13:00:25.593Z
influencer,freespins,29224.67,11,2026-07-31T13:00:25.593Z
seo,bonus50,26961.24,7,2026-07-31T13:00:25.593Z
