acquisition_channel,attributed_offer,product,turnover_brl,ggr_brl,n_jogadores,n_apostas,_ingested_at
affiliate,bonus50,sports,35581.6,4333.62,6,68,2026-07-31T13:00:22.393Z
unknown,oferta_nao_identificada,casino,49343.75,-5235.68,5,95,2026-07-31T13:00:22.393Z
affiliate,oferta_nao_identificada,casino,7781.92,339.85,4,15,2026-07-31T13:00:22.393Z
seo,freebet,casino,4894.29,2122.97,2,9,2026-07-31T13:00:22.393Z
paid_social,no_campaign_exposure,casino,1885.95,1885.95,1,3,2026-07-31T13:00:22.393Z
organic,oferta_nao_identificada,casino,9398.96,5726.61,4,17,2026-07-31T13:00:22.393Z
paid_social,none,casino,30012.34,-566.13,9,62,2026-07-31T13:00:22.393Z
influencer,none,casino,33747.45,-1171.53,9,71,2026-07-31T13:00:22.393Z
affiliate,cashback,casino,8904.94,1269.92,2,20,2026-07-31T13:00:22.393Z
influencer,bonus50,sports,42349.61,-8799.26,9,80,2026-07-31T13:00:22.393Z
affiliate,freespins,casino,19556.63,-3260.26,6,39,2026-07-31T13:00:22.393Z
paid_social,bonus50,sports,24748.68,10098.23,8,48,2026-07-31T13:00:22.393Z
organic,freespins,casino,65105.55,-9491.36,8,122,2026-07-31T13:00:22.393Z
organic,bonus50,sports,61124.33,5252.81,8,123,2026-07-31T13:00:22.393Z
affiliate,bonus100,sports,3295.44,-136.79,1,6,2026-07-31T13:00:22.393Z
organic,cashback,sports,5310.39,1950.95,1,10,2026-07-31T13:00:22.393Z
seo,cashback,sports,4725.74,-3482.65,1,9,2026-07-31T13:00:22.393Z
paid_social,bonus100,casino,2701.99,223.58,2,6,2026-07-31T13:00:22.393Z
seo,freespins,casino,66396.94,-17698.46,14,131,2026-07-31T13:00:22.393Z
organic,bonus100,sports,6067.47,-1968.8,1,14,2026-07-31T13:00:22.393Z
unknown,cashback,casino,2255.71,736.43,2,6,2026-07-31T13:00:22.393Z
unknown,freebet,sports,5878.4,-1830.48,1,11,2026-07-31T13:00:22.393Z
paid_social,freebet,sports,5933.03,-2492.58,2,13,2026-07-31T13:00:22.393Z
unknown,freespins,casino,28954.25,879.77,6,65,2026-07-31T13:00:22.393Z
influencer,freespins,casino,30752.41,1609.24,10,62,2026-07-31T13:00:22.393Z
paid_social,none,sports,23725.53,1308.28,9,46,2026-07-31T13:00:22.393Z
paid_social,no_campaign_exposure,sports,1842.8,1175.94,1,3,2026-07-31T13:00:22.393Z
seo,oferta_nao_identificada,casino,31620.12,-1980.51,4,61,2026-07-31T13:00:22.393Z
seo,freebet,sports,5816.05,1081.49,2,9,2026-07-31T13:00:22.393Z
unknown,freebet,casino,6024.52,2508.39,1,10,2026-07-31T13:00:22.393Z
unknown,none,sports,48377.89,14685.02,5,94,2026-07-31T13:00:22.393Z
organic,freebet,sports,35030.53,-7255.05,7,71,2026-07-31T13:00:22.393Z
paid_social,oferta_nao_identificada,casino,19716.08,-2671.06,5,39,2026-07-31T13:00:22.393Z
affiliate,bonus50,casino,31452.46,-4430.95,6,61,2026-07-31T13:00:22.393Z
unknown,cashback,sports,1432.42,-2173.49,1,3,2026-07-31T13:00:22.393Z
seo,freespins,sports,64580.38,1796.01,14,151,2026-07-31T13:00:22.393Z
organic,freespins,sports,63435.73,6617.53,8,133,2026-07-31T13:00:22.393Z
seo,none,sports,55318.47,3596.91,10,105,2026-07-31T13:00:22.393Z
affiliate,none,casino,13947.51,2981.01,7,32,2026-07-31T13:00:22.393Z
organic,bonus100,casino,7179.12,-2057.81,1,13,2026-07-31T13:00:22.393Z
organic,bonus50,casino,71264.09,-8236.46,8,138,2026-07-31T13:00:22.393Z
seo,none,casino,55443.72,-4908.71,10,108,2026-07-31T13:00:22.393Z
influencer,oferta_nao_identificada,sports,7981.74,3004.28,3,22,2026-07-31T13:00:22.393Z
unknown,bonus50,casino,3361.31,-633.91,1,7,2026-07-31T13:00:22.393Z
unknown,bonus50,sports,1714.78,54.55,1,5,2026-07-31T13:00:22.393Z
paid_social,oferta_nao_identificada,sports,23039.58,910.56,6,48,2026-07-31T13:00:22.393Z
affiliate,freebet,casino,19845.2,-12994.84,5,43,2026-07-31T13:00:22.393Z
paid_social,freespins,casino,35050.35,433.43,10,71,2026-07-31T13:00:22.393Z
influencer,cashback,sports,730.35,730.35,1,1,2026-07-31T13:00:22.393Z
unknown,oferta_nao_identificada,sports,45928.51,-6463.36,5,82,2026-07-31T13:00:22.393Z
unknown,no_campaign_exposure,sports,4450.38,-2724.28,1,11,2026-07-31T13:00:22.393Z
influencer,freebet,casino,39951.06,1298.81,6,85,2026-07-31T13:00:22.393Z
paid_social,bonus100,sports,1124.08,1124.08,2,3,2026-07-31T13:00:22.393Z
paid_social,freespins,sports,30211.75,-940.67,10,67,2026-07-31T13:00:22.393Z
organic,oferta_nao_identificada,sports,6781.44,-9626.98,4,13,2026-07-31T13:00:22.393Z
affiliate,freespins,sports,18376.15,-6928.68,6,36,2026-07-31T13:00:22.393Z
affiliate,none,sports,19781.55,-1487.86,7,46,2026-07-31T13:00:22.393Z
affiliate,bonus100,casino,2288.62,-3628.21,1,3,2026-07-31T13:00:22.393Z
affiliate,oferta_nao_identificada,sports,4141.19,1343.11,3,9,2026-07-31T13:00:22.393Z
influencer,bonus50,casino,44644.68,-1897.33,9,85,2026-07-31T13:00:22.393Z
influencer,oferta_nao_identificada,casino,10839.65,2893.84,3,17,2026-07-31T13:00:22.393Z
organic,none,sports,44866.34,6272.8,14,96,2026-07-31T13:00:22.393Z
organic,freebet,casino,31284.53,5901.04,8,67,2026-07-31T13:00:22.393Z
influencer,no_campaign_exposure,sports,2444.37,-1510.22,1,3,2026-07-31T13:00:22.393Z
seo,bonus50,sports,20495.95,-1604.41,8,42,2026-07-31T13:00:22.393Z
organic,cashback,casino,4474.68,-4134.3,1,11,2026-07-31T13:00:22.393Z
unknown,no_campaign_exposure,casino,6491.1,-1939.42,1,13,2026-07-31T13:00:22.393Z
seo,bonus50,casino,21340.83,-1517.17,8,39,2026-07-31T13:00:22.393Z
seo,oferta_nao_identificada,sports,26318.61,-4610.16,4,53,2026-07-31T13:00:22.393Z
affiliate,cashback,sports,7725.32,-2076.77,2,16,2026-07-31T13:00:22.393Z
paid_social,freebet,casino,5096.44,4511.99,2,14,2026-07-31T13:00:22.393Z
affiliate,freebet,sports,21685.09,4175.03,4,44,2026-07-31T13:00:22.393Z
unknown,freespins,sports,28544.93,3362.16,6,58,2026-07-31T13:00:22.393Z
organic,none,casino,52093.79,6641.29,14,111,2026-07-31T13:00:22.393Z
seo,cashback,casino,4217.89,-1295.41,1,9,2026-07-31T13:00:22.393Z
influencer,cashback,casino,1057.01,682.55,1,2,2026-07-31T13:00:22.393Z
influencer,freespins,sports,21902.13,4220.16,10,43,2026-07-31T13:00:22.393Z
influencer,none,sports,36627.66,-18055.69,9,73,2026-07-31T13:00:22.393Z
influencer,freebet,sports,31051.7,-1387.9,7,74,2026-07-31T13:00:22.393Z
paid_social,bonus50,casino,18167.57,3546.98,8,42,2026-07-31T13:00:22.393Z
unknown,none,casino,28897.48,-3278.23,5,56,2026-07-31T13:00:22.393Z
