player_id,signup_date,acquisition_channel,country,preferred_currency,kyc_status,self_excluded,is_eligible_for_targeting,_ingested_at,turnover_brl,ggr_brl,last_bet_ts,n_bets,net_deposits_confirmed_brl,deposits_pending_brl,deposits_failed_brl,last_confirmed_deposit_ts,n_confirmed_deposits,personal_cadence_days,last_activity_ts,is_never_converted,days_since_last_activity,has_reliable_personal_cadence,dormancy_threshold_days,player_lifecycle_status,hold_rate,wallet_burn_rate,theoretical_balance_brl
P00001,2024-01-11,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,5800.98,1661.48,2024-01-20T02:23:00.000Z,12,5436.049999999999,278.77,448.8,2024-01-18T17:20:00.000Z,4,3,2024-01-20T02:23:00.000Z,false,72,false,60.0,dormant,0.2864,0.3056,3774.57
P00002,2023-12-30,affiliate,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,1161.09,0.0,0.0,2024-02-10T11:43:00.000Z,1,,2024-02-10T11:43:00.000Z,false,51,false,60.0,active,,0.0,1161.09
P00003,2023-11-16,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,3136.3900000000003,1131.73,2023-12-31T01:57:00.000Z,6,1739.55,0.0,0.0,2023-12-02T16:29:00.000Z,2,6,2023-12-31T01:57:00.000Z,false,92,false,60.0,dormant,0.3608,0.6506,607.82
P00004,2024-02-12,organic,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,9785.070000000003,-2183.349999999999,2024-03-16T01:27:00.000Z,21,3649.2,0.0,0.0,2024-03-16T17:26:00.000Z,3,4,2024-03-16T17:26:00.000Z,false,16,false,60.0,active,-0.2231,-0.5983,5832.55
P00005,2023-09-01,influencer,AO,USD,verified,false,true,2026-07-31T12:25:18.361Z,11495.4,-2891.51,2023-10-18T00:11:00.000Z,21,3570.84,207.26,4858.79,2023-10-12T11:03:00.000Z,5,3,2023-10-18T00:11:00.000Z,false,166,true,30.0,dormant,-0.2515,-0.8098,6462.35
P00006,2024-01-28,organic,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,5987.42,1727.8400000000001,2024-03-25T15:20:00.000Z,12,9333.91,1549.56,0.0,2024-03-25T18:44:00.000Z,7,4,2024-03-25T18:44:00.000Z,false,7,true,30.0,active,0.2886,0.1851,7606.07
P00007,2024-01-10,affiliate,PT,USD,verified,false,true,2026-07-31T12:25:18.361Z,13392.150000000001,1967.3999999999999,2024-03-28T08:40:00.000Z,30,2905.12,0.0,0.0,2024-02-28T21:57:00.000Z,5,3,2024-03-28T08:40:00.000Z,false,4,true,30.0,active,0.1469,0.6772,937.72
P00008,2023-09-13,seo,BR,BRL,rejected,false,false,2026-07-31T12:25:18.361Z,13736.579999999996,-1472.5099999999993,2024-03-05T07:24:00.000Z,27,3932.4100000000003,0.0,889.7,2024-01-17T09:04:00.000Z,6,16,2024-03-05T07:24:00.000Z,false,27,true,40.0,active,-0.1072,-0.3745,5404.92
P00009,2023-10-23,affiliate,PT,EUR,pending,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,1425.54,0.0,0.0,2024-03-10T16:45:00.000Z,1,,2024-03-10T16:45:00.000Z,false,22,false,60.0,active,,0.0,1425.54
P00010,2024-03-12,seo,PT,EUR,pending,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,1561.38,0.0,0.0,2024-03-19T19:50:00.000Z,1,,2024-03-19T19:50:00.000Z,false,13,false,60.0,active,,0.0,1561.38
P00011,2024-02-07,influencer,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,5506.5,1170.02,2024-02-15T00:30:00.000Z,9,3008.41,0.0,0.0,2024-02-14T16:50:00.000Z,3,0,2024-02-15T00:30:00.000Z,false,46,false,60.0,active,0.2125,0.3889,1838.39
P00012,2023-12-09,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,12624.169999999998,6499.809999999999,2024-01-27T13:50:00.000Z,24,4177.2,0.0,0.0,2024-01-22T17:37:00.000Z,4,9,2024-01-27T13:50:00.000Z,false,65,false,60.0,dormant,0.5149,1.556,-2322.61
P00013,2023-11-06,organic,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,1568.57,128.48000000000002,2024-03-12T22:54:00.000Z,3,991.4,0.0,0.0,2024-02-02T21:05:00.000Z,1,,2024-03-12T22:54:00.000Z,false,20,false,60.0,active,0.0819,0.1296,862.92
P00014,2024-02-09,paid_social,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,2886.81,408.3999999999998,2024-03-22T19:55:00.000Z,6,0.0,0.0,0.0,,0,,2024-03-22T19:55:00.000Z,false,10,false,60.0,active,0.1415,,-408.4
P00015,2023-10-07,influencer,AO,USD,pending,false,true,2026-07-31T12:25:18.361Z,0.0,0.0,,0,925.18,0.0,0.0,2024-01-04T09:30:00.000Z,1,,2024-01-04T09:30:00.000Z,false,88,false,60.0,dormant,,0.0,925.18
P00016,2023-09-20,influencer,BR,BRL,pending,false,true,2026-07-31T12:25:18.361Z,10286.070000000002,-3439.9500000000003,2024-01-20T10:54:00.000Z,24,4674.03,0.0,0.0,2023-11-15T00:45:00.000Z,4,15,2024-01-20T10:54:00.000Z,false,72,false,60.0,dormant,-0.3344,-0.736,8113.98
P00017,2023-08-05,organic,BR,BRL,verified,false,true,2026-07-31T12:25:18.361Z,3618.27,438.43000000000006,2024-01-11T14:12:00.000Z,6,0.0,0.0,0.0,,0,,2024-01-11T14:12:00.000Z,false,81,false,60.0,dormant,0.1212,,-438.43
P00018,2023-12-03,influencer,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,1787.3600000000001,1412.9,2023-12-24T23:47:00.000Z,3,754.98,0.0,0.0,2023-12-31T02:48:00.000Z,1,,2023-12-31T02:48:00.000Z,false,92,false,60.0,dormant,0.7905,1.8714,-657.92
P00019,2023-12-14,affiliate,PT,EUR,verified,false,true,2026-07-31T12:25:18.361Z,8193.480000000001,-1095.5,2024-01-21T20:48:00.000Z,15,1961.23,0.0,677.68,2024-01-26T01:08:00.000Z,3,1,2024-01-26T01:08:00.000Z,false,66,false,60.0,dormant,-0.1337,-0.5586,3056.73
