bet_id,player_id,bet_ts,stake,currency,product,payout,is_currency_valid,stake_brl,payout_brl,ggr_brl,_ingested_at
B0000001,P00001,2024-01-12T06:53:00.000Z,179.03,USD,sports,418.35,true,877.67,2050.89,-1173.22,2026-07-31T12:59:56.604Z
B0000002,P00001,2024-01-17T13:13:00.000Z,416.68,BRL,casino,0.00,true,416.68,0.0,416.68,2026-07-31T12:59:56.604Z
B0000003,P00001,2024-01-17T02:19:00.000Z,635.38,BRL,sports,0.00,true,635.38,0.0,635.38,2026-07-31T12:59:56.604Z
B0000004,P00001,2024-01-13T01:21:00.000Z,633.06,BRL,casino,0.00,true,633.06,0.0,633.06,2026-07-31T12:59:56.604Z
B0000005,P00001,2024-01-18T03:07:00.000Z,601.99,BRL,sports,1444.79,true,601.99,1444.79,-842.8,2026-07-31T12:59:56.604Z
B0000006,P00001,2024-01-20T02:23:00.000Z,520.40,BRL,sports,0.00,true,520.4,0.0,520.4,2026-07-31T12:59:56.604Z
B0000007,P00001,2024-01-14T22:17:00.000Z,223.66,BRL,casino,0.00,true,223.66,0.0,223.66,2026-07-31T12:59:56.604Z
B0000008,P00001,2024-01-18T14:29:00.000Z,96.51,BRL,casino,0.00,true,96.51,0.0,96.51,2026-07-31T12:59:56.604Z
B0000009,P00001,2024-01-17T15:56:00.000Z,402.94,BRL,casino,643.82,true,402.94,643.82,-240.88,2026-07-31T12:59:56.604Z
B0000010,P00001,2024-01-17T22:31:00.000Z,55.22,EUR,casino,0.00,true,288.2,0.0,288.2,2026-07-31T12:59:56.604Z
B0000011,P00001,2024-01-18T13:38:00.000Z,748.34,BRL,casino,0.00,true,748.34,0.0,748.34,2026-07-31T12:59:56.604Z
B0000012,P00001,2024-01-17T19:28:00.000Z,356.15,BRL,sports,0.00,true,356.15,0.0,356.15,2026-07-31T12:59:56.604Z
B0000013,P00003,2023-12-23T22:33:00.000Z,605.86,BRL,casino,0.00,true,605.86,0.0,605.86,2026-07-31T12:59:56.604Z
B0000014,P00003,2023-12-11T03:13:00.000Z,810.00,BRL,casino,1318.36,true,810.0,1318.36,-508.36,2026-07-31T12:59:56.604Z
B0000015,P00003,2023-12-09T05:29:00.000Z,25.34,USD,casino,31.04,true,126.74,155.25,-28.51,2026-07-31T12:59:56.604Z
B0000016,P00003,2023-11-30T11:06:00.000Z,388.66,BRL,casino,0.00,true,388.66,0.0,388.66,2026-07-31T12:59:56.604Z
B0000017,P00003,2023-12-31T01:57:00.000Z,883.94,BRL,casino,0.00,true,883.94,0.0,883.94,2026-07-31T12:59:56.604Z
B0000018,P00003,2023-12-29T18:31:00.000Z,321.19,BRL,sports,531.05,true,321.19,531.05,-209.86,2026-07-31T12:59:56.604Z
B0000019,P00004,2024-03-09T12:18:00.000Z,35.06,USD,sports,72.94,true,168.57,350.7,-182.13,2026-07-31T12:59:56.604Z
B0000020,P00004,2024-02-12T07:57:00.000Z,287.94,BRL,sports,0.00,true,287.94,0.0,287.94,2026-07-31T12:59:56.604Z
B0000021,P00004,2024-03-04T16:17:00.000Z,74.11,BRL,casino,225.72,true,74.11,225.72,-151.61,2026-07-31T12:59:56.604Z
B0000022,P00004,2024-03-05T07:44:00.000Z,558.67,BRL,casino,1457.20,true,558.67,1457.2,-898.53,2026-07-31T12:59:56.604Z
B0000023,P00004,2024-03-14T13:01:00.000Z,967.32,BRL,sports,1992.66,true,967.32,1992.66,-1025.34,2026-07-31T12:59:56.604Z
B0000024,P00004,2024-02-15T20:46:00.000Z,143.04,BRL,casino,0.00,true,143.04,0.0,143.04,2026-07-31T12:59:56.604Z
B0000025,P00004,2024-02-26T06:57:00.000Z,195.20,BRL,sports,0.00,true,195.2,0.0,195.2,2026-07-31T12:59:56.604Z
B0000026,P00004,2024-02-15T01:21:00.000Z,786.02,BRL,casino,2655.52,true,786.02,2655.52,-1869.5,2026-07-31T12:59:56.604Z
B0000027,P00004,2024-02-29T01:20:00.000Z,925.23,BRL,sports,0.00,true,925.23,0.0,925.23,2026-07-31T12:59:56.604Z
B0000028,P00004,2024-03-09T03:30:00.000Z,669.89,BRL,casino,0.00,true,669.89,0.0,669.89,2026-07-31T12:59:56.604Z
B0000029,P00004,2024-02-29T04:05:00.000Z,732.21,BRL,casino,1322.93,true,732.21,1322.93,-590.72,2026-07-31T12:59:56.604Z
B0000030,P00004,2024-02-27T23:03:00.000Z,736.59,BRL,sports,1016.08,true,736.59,1016.08,-279.49,2026-07-31T12:59:56.604Z
B0000031,P00004,2024-02-12T05:52:00.000Z,470.81,BRL,casino,1093.03,true,470.81,1093.03,-622.22,2026-07-31T12:59:56.604Z
B0000032,P00004,2024-03-02T01:08:00.000Z,657.01,BRL,sports,0.00,true,657.01,0.0,657.01,2026-07-31T12:59:56.604Z
B0000033,P00004,2024-03-06T02:25:00.000Z,455.17,BRL,sports,0.00,true,455.17,0.0,455.17,2026-07-31T12:59:56.604Z
B0000034,P00004,2024-02-16T14:09:00.000Z,168.38,BRL,casino,538.92,true,168.38,538.92,-370.54,2026-07-31T12:59:56.604Z
B0000035,P00004,2024-02-18T02:01:00.000Z,244.36,BRL,casino,0.00,true,244.36,0.0,244.36,2026-07-31T12:59:56.604Z
B0000036,P00004,2024-03-16T01:27:00.000Z,269.25,BRL,sports,0.00,true,269.25,0.0,269.25,2026-07-31T12:59:56.604Z
B0000037,P00004,2024-02-21T06:03:00.000Z,433.69,BRL,casino,960.66,true,433.69,960.66,-526.97,2026-07-31T12:59:56.604Z
B0000038,P00004,2024-03-10T13:33:00.000Z,193.50,BRL,casino,355.00,true,193.5,355.0,-161.5,2026-07-31T12:59:56.604Z
B0000039,P00004,2024-02-18T03:03:00.000Z,648.11,BRL,sports,0.00,true,648.11,0.0,648.11,2026-07-31T12:59:56.604Z
B0000040,P00005,2023-09-16T15:25:00.000Z,279.08,BRL,casino,0.00,true,279.08,0.0,279.08,2026-07-31T12:59:56.604Z
B0000041,P00005,2023-09-26T10:10:00.000Z,144.39,EUR,sports,0.00,true,768.0,0.0,768.0,2026-07-31T12:59:56.604Z
B0000042,P00005,2023-09-23T02:58:00.000Z,141.46,USD,casino,170.76,true,723.38,873.21,-149.83,2026-07-31T12:59:56.604Z
B0000043,P00005,2023-10-18T00:11:00.000Z,181.43,USD,casino,349.21,true,927.83,1785.85,-858.02,2026-07-31T12:59:56.604Z
B0000044,P00005,2023-09-30T23:56:00.000Z,667.70,BRL,sports,833.22,true,667.7,833.22,-165.52,2026-07-31T12:59:56.604Z
B0000045,P00005,2023-09-11T23:37:00.000Z,170.76,USD,sports,0.00,true,861.74,0.0,861.74,2026-07-31T12:59:56.604Z
B0000046,P00005,2023-10-02T15:18:00.000Z,95.04,USD,sports,117.85,true,486.73,603.55,-116.82,2026-07-31T12:59:56.604Z
B0000047,P00005,2023-10-04T01:51:00.000Z,151.24,USD,casino,0.00,true,769.99,0.0,769.99,2026-07-31T12:59:56.604Z
B0000048,P00005,2023-09-29T14:16:00.000Z,70.81,USD,casino,0.00,true,361.98,0.0,361.98,2026-07-31T12:59:56.604Z
B0000049,P00005,2023-09-30T14:55:00.000Z,60.93,USD,casino,145.68,true,311.47,744.72,-433.25,2026-07-31T12:59:56.604Z
B0000050,P00005,2023-09-08T02:26:00.000Z,104.34,USD,sports,0.00,true,526.45,0.0,526.45,2026-07-31T12:59:56.604Z
B0000051,P00005,2023-10-13T15:27:00.000Z,72.08,USD,casino,182.25,true,364.97,922.82,-557.85,2026-07-31T12:59:56.604Z
B0000052,P00005,2023-09-14T14:17:00.000Z,39.57,USD,casino,0.00,true,199.93,0.0,199.93,2026-07-31T12:59:56.604Z
B0000053,P00005,2023-10-04T12:17:00.000Z,182.16,USD,casino,357.35,true,927.41,1819.33,-891.92,2026-07-31T12:59:56.604Z
B0000054,P00005,2023-09-13T01:50:00.000Z,123.12,EUR,casino,0.00,true,654.28,0.0,654.28,2026-07-31T12:59:56.604Z
B0000055,P00005,2023-10-07T10:43:00.000Z,158.68,USD,sports,544.24,true,801.7,2749.67,-1947.97,2026-07-31T12:59:56.604Z
B0000056,P00005,2023-09-30T02:31:00.000Z,105.11,USD,casino,261.06,true,537.32,1334.54,-797.22,2026-07-31T12:59:56.604Z
B0000057,P00005,2023-09-05T12:03:00.000Z,4.10,USD,casino,7.59,true,20.66,38.24,-17.58,2026-07-31T12:59:56.604Z
B0000058,P00005,2023-09-20T06:18:00.000Z,132.39,USD,sports,235.43,true,672.27,1195.5,-523.23,2026-07-31T12:59:56.604Z
