deposit_id,player_id,deposit_ts,amount,currency,status,is_currency_valid,is_confirmed,amount_brl,_ingested_at
D0001137,P00195,2024-01-01T04:17:00.000Z,216.54,EUR,confirmed,true,true,1145.22,2026-07-31T13:00:01.297Z
D0000420,P00111,2023-11-30T04:39:00.000Z,1291.94,BRL,confirmed,true,true,1291.94,2026-07-31T13:00:01.297Z
D0000719,P00164,2024-02-15T21:30:00.000Z,35.98,EUR,failed,true,false,189.24,2026-07-31T13:00:01.297Z
D0000986,P00218,2023-10-06T00:12:00.000Z,241.90,BRL,confirmed,true,true,241.9,2026-07-31T13:00:01.297Z
D0000696,P00157,2024-02-10T01:54:00.000Z,1545.84,BRL,confirmed,true,true,1545.84,2026-07-31T13:00:01.297Z
D0000278,P00071,2024-02-02T13:12:00.000Z,252.04,EUR,pending,true,false,1321.6,2026-07-31T13:00:01.297Z
D0000046,P00011,2024-02-13T10:58:00.000Z,172.94,EUR,confirmed,true,true,905.65,2026-07-31T13:00:01.297Z
D0000446,P00115,2023-10-21T19:42:00.000Z,242.57,BRL,confirmed,true,true,242.57,2026-07-31T13:00:01.297Z
D0000568,P00139,2023-10-03T05:52:00.000Z,1949.09,BRL,confirmed,true,true,1949.09,2026-07-31T13:00:01.297Z
D0000514,P00134,2023-09-10T18:45:00.000Z,1398.85,BRL,failed,true,false,1398.85,2026-07-31T13:00:01.297Z
D0000661,P00151,2024-01-26T12:00:00.000Z,1203.95,BRL,confirmed,true,true,1203.95,2026-07-31T13:00:01.297Z
D0000416,P00111,2023-12-24T03:45:00.000Z,309.94,EUR,confirmed,true,true,1650.65,2026-07-31T13:00:01.297Z
D0000978,P00217,2024-02-29T16:33:00.000Z,1061.84,BRL,confirmed,true,true,1061.84,2026-07-31T13:00:01.297Z
D0000608,P00143,2024-02-08T00:00:00.000Z,1986.77,BRL,confirmed,true,true,1986.77,2026-07-31T13:00:01.297Z
D0001040,P00227,2024-01-31T06:13:00.000Z,496.57,BRL,confirmed,true,true,496.57,2026-07-31T13:00:01.297Z
D0000187,P00048,2023-10-04T23:40:00.000Z,1977.15,BRL,confirmed,true,true,1977.15,2026-07-31T13:00:01.297Z
D0000274,P00071,2023-10-29T13:56:00.000Z,53.65,EUR,confirmed,true,true,284.8,2026-07-31T13:00:01.297Z
D0000087,P00026,2024-03-05T23:58:00.000Z,1984.08,BRL,confirmed,true,true,1984.08,2026-07-31T13:00:01.297Z
D0000504,P00129,2024-02-15T23:55:00.000Z,32.49,EUR,pending,true,false,170.88,2026-07-31T13:00:01.297Z
D0000220,P00054,2023-09-28T03:14:00.000Z,1804.20,BRL,confirmed,true,true,1804.2,2026-07-31T13:00:01.297Z
D0000234,P00060,2024-02-10T23:13:00.000Z,16.50,EUR,confirmed,true,true,86.97,2026-07-31T13:00:01.297Z
D0000716,P00162,2024-03-20T06:09:00.000Z,133.26,EUR,confirmed,true,true,707.2,2026-07-31T13:00:01.297Z
D0000148,P00037,2023-11-26T21:49:00.000Z,671.81,BRL,confirmed,true,true,671.81,2026-07-31T13:00:01.297Z
D0000841,P00194,2023-12-11T01:56:00.000Z,71.95,EUR,confirmed,true,true,379.66,2026-07-31T13:00:01.297Z
D0001150,P00111,2024-02-13T22:08:00.000Z,173.08,EUR,confirmed,true,true,906.39,2026-07-31T13:00:01.297Z
D0000421,P00111,2024-01-08T11:11:00.000Z,16.59,EUR,confirmed,true,true,87.64,2026-07-31T13:00:01.297Z
