player_id,signup_date,acquisition_channel,country,preferred_currency,kyc_status,self_excluded,is_eligible_for_targeting,_ingested_at
P00001,2024-01-11,affiliate,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00002,2023-12-30,affiliate,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00003,2023-11-16,paid_social,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00004,2024-02-12,organic,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00005,2023-09-01,influencer,AO,USD,verified,false,true,2026-07-31T13:06:41.837Z
P00006,2024-01-28,organic,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00007,2024-01-10,affiliate,PT,USD,verified,false,true,2026-07-31T13:06:41.837Z
P00008,2023-09-13,seo,BR,BRL,rejected,false,false,2026-07-31T13:06:41.837Z
P00009,2023-10-23,affiliate,PT,EUR,pending,false,true,2026-07-31T13:06:41.837Z
P00010,2024-03-12,seo,PT,EUR,pending,false,true,2026-07-31T13:06:41.837Z
P00011,2024-02-07,influencer,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00012,2023-12-09,paid_social,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00013,2023-11-06,organic,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00014,2024-02-09,paid_social,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00015,2023-10-07,influencer,AO,USD,pending,false,true,2026-07-31T13:06:41.837Z
P00016,2023-09-20,influencer,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00017,2023-08-05,organic,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00018,2023-12-03,influencer,PT,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00019,2023-12-14,affiliate,PT,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00020,2024-01-19,influencer,BR,BRL,verified,true,false,2026-07-31T13:06:41.837Z
P00021,2023-09-28,paid_social,BR,EUR,pending,false,true,2026-07-31T13:06:41.837Z
P00022,2023-10-11,affiliate,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00023,2024-02-23,seo,BR,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00024,2023-08-16,paid_social,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00025,2023-11-27,seo,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00026,2024-03-02,affiliate,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00027,2023-11-06,seo,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00028,2023-09-09,paid_social,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00029,2023-12-01,unknown,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00030,2024-01-20,influencer,PT,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00031,2023-10-20,organic,AO,USD,verified,false,true,2026-07-31T13:06:41.837Z
P00032,2024-02-09,influencer,AO,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00033,2024-03-13,organic,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00034,2023-08-03,paid_social,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00035,2023-09-09,organic,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00036,2023-08-24,unknown,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00037,2023-11-22,paid_social,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00038,2024-03-01,seo,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00039,2023-08-11,affiliate,PT,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00040,2024-02-08,affiliate,BR,BRL,pending,true,false,2026-07-31T13:06:41.837Z
P00041,2023-10-25,affiliate,PT,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00042,2023-09-26,organic,BR,BRL,verified,true,false,2026-07-31T13:06:41.837Z
P00043,2023-11-11,organic,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00044,2023-08-08,affiliate,BR,BRL,rejected,false,false,2026-07-31T13:06:41.837Z
P00045,2024-02-03,influencer,PT,EUR,pending,true,false,2026-07-31T13:06:41.837Z
P00046,2023-08-01,affiliate,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00047,2024-01-17,organic,PT,EUR,verified,false,true,2026-07-31T13:06:41.837Z
P00048,2023-09-02,seo,BR,BRL,pending,false,true,2026-07-31T13:06:41.837Z
P00049,2024-03-01,seo,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00050,2023-09-24,affiliate,BR,BRL,verified,false,true,2026-07-31T13:06:41.837Z
P00051,2024-02-26,organic,AO,USD,verified,false,true,2026-07-31T13:06:41.837Z
P00052,2024-01-04,influencer,PT,USD,verified,false,true,2026-07-31T13:06:41.837Z
